movieId,imdbId,tmdbId,title,genres,year,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,rating,tag
1,114709,862.0,Toy Story ,Adventure|Animation|Children|Comedy|Fantasy,1995,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.9209302325581397,"pixar, pixar, fun"
2,113497,8844.0,Jumanji ,Adventure|Children|Fantasy,1995,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.4318181818181817,"fantasy, magic board game, Robin Williams, game"
3,113228,15602.0,Grumpier Old Men ,Comedy|Romance,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.2596153846153846,"moldy, old"
4,114885,31357.0,Waiting to Exhale ,Comedy|Drama|Romance,1995,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.357142857142857,No tags available
5,113041,11862.0,Father of the Bride Part II ,Comedy,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0714285714285716,"pregnancy, remake"
6,113277,949.0,Heat ,Action|Crime|Thriller,1995,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.946078431372549,No tags available
7,114319,11860.0,Sabrina ,Comedy|Romance,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.185185185185185,remake
8,112302,45325.0,Tom and Huck ,Adventure|Children,1995,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.875,No tags available
9,114576,9091.0,Sudden Death ,Action,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,No tags available
10,113189,710.0,GoldenEye ,Action|Adventure|Thriller,1995,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.496212121212121,No tags available
11,112346,9087.0,"American President, The ",Comedy|Drama|Romance,1995,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.6714285714285713,"politics, president"
12,112896,12110.0,Dracula: Dead and Loving It ,Comedy|Horror,1995,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.4210526315789473,No tags available
13,112453,21032.0,Balto ,Adventure|Animation|Children,1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,No tags available
14,113987,10858.0,Nixon ,Drama,1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.8333333333333335,"politics, president"
15,112760,1408.0,Cutthroat Island ,Action|Adventure|Romance,1995,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,No tags available
16,112641,524.0,Casino ,Crime|Drama,1995,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.926829268292683,Mafia
17,114388,4584.0,Sense and Sensibility ,Drama|Romance,1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.7761194029850746,Jane Austen
18,113101,5.0,Four Rooms ,Comedy,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,No tags available
19,112281,9273.0,Ace Ventura: When Nature Calls ,Comedy,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.727272727272727,No tags available
20,113845,11517.0,Money Train ,Action|Comedy|Crime|Drama|Thriller,1995,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2.5,No tags available
21,113161,8012.0,Get Shorty ,Comedy|Crime|Thriller,1995,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.49438202247191,Hollywood
22,112722,1710.0,Copycat ,Crime|Drama|Horror|Mystery|Thriller,1995,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,3.2222222222222223,serial killer
23,112401,9691.0,Assassins ,Action|Crime|Thriller,1995,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.125,No tags available
